x1 x2 label
-4.4791 3.3937 2
7.8984 -5.8965 3
-9.8639 -7.7490 0
2.9518 -5.1833 3
-4.1867 3.8343 2
-3.1768 4.3702 2
5.4088 -5.3447 3
-9.5431 4.6309 1
4.3218 -5.5438 3
5.4968 -5.6538 3
-10.6395 4.6339 1
3.9048 -4.6311 3
-4.8774 -2.4898 4
4.3310 -6.7243 3
-3.2520 3.2348 2
-4.0318 3.4640 2
4.9453 -6.1662 3
5.7822 -5.4181 3
5.6520 -5.1689 3
-4.6943 -3.2294 4
4.4173 -5.2402 3
-4.0492 3.1254 2
-8.1458 -8.0735 0
-9.2024 3.5654 1
-8.8864 3.8588 1
-10.0461 -6.8617 0
-3.1254 4.2010 2
6.1868 -5.9088 3
-10.0851 -7.8282 0
-10.0197 -8.3914 0
-4.2128 -3.3652 4
-4.1858 -2.8936 4
-3.7368 -1.6311 4
-6.1987 -3.8387 4
-10.2987 -8.3270 0
-5.0460 -3.1392 4
-11.4083 4.0554 1
-7.1037 -2.2672 4
-4.9485 2.5051 2
-10.5968 2.9082 1
-3.1611 3.0290 2
-10.7422 3.0163 1
-6.2223 -4.5978 4
-4.6604 3.5029 2
-7.4190 -2.1297 4
-4.7785 3.3931 2
-10.6990 4.5211 1
4.0904 -5.7173 3
3.4097 -6.2113 3
-8.7725 -8.7656 0
4.3718 -5.9135 3
-8.6801 5.4390 1
-4.8013 -5.8405 4
5.4612 -5.6356 3
-5.4997 -4.3304 4
-9.4577 -9.0326 0
-5.5435 -4.2081 4
-4.3186 3.8059 2
-8.6597 -6.3829 0
-9.9956 3.0550 1
6.3597 -5.9405 3
-3.6365 2.3814 2
-10.5232 4.1920 1
-7.6656 -8.0195 0
-4.0457 4.8850 2
-4.3781 -4.7447 4
-9.7517 -9.0156 0
-9.2809 4.9565 1
3.9760 -4.9489 3
-6.2830 -3.9347 4
5.0330 -6.1761 3
-9.7813 -9.2572 0
-11.0315 3.6441 1
5.5258 -5.1673 3
-11.4239 4.6926 1
-5.0557 -2.9554 4
-9.0357 5.9764 1
5.6075 -5.9669 3
6.6010 -5.6611 3
-10.2395 4.9487 1
-8.8909 -8.1023 0
-10.3803 4.0075 1
-5.0648 -3.8558 4
-7.3378 -2.3940 4
-9.8274 3.2856 1
-7.7716 -8.6099 0
-9.5704 -10.1851 0
-2.8091 5.2364 2
-3.7752 3.2464 2
-4.2066 -6.1067 4
-4.9114 -3.4216 4
-4.4552 -3.5057 4
-9.1961 4.0429 1
-8.1431 4.0263 1
-9.0886 -8.6273 0
-11.0169 3.4889 1
5.6792 -5.1388 3
4.8909 -5.8556 3
4.7322 -4.0895 3
-9.5160 -7.5866 0
5.4398 -5.9188 3
-5.2242 -0.0478 4
-8.6125 -7.4585 0
-9.3216 -9.4631 0
-9.7942 -7.3977 0
-3.8286 2.5118 2
-9.2315 -8.0868 0
-2.8642 5.3891 2
-10.9938 4.6405 1
-5.3267 3.7716 2
-4.2468 2.3606 2
-8.7130 -8.3648 0
-8.8329 -8.8046 0
-9.2127 3.2399 1
-6.2019 -4.6130 4
-9.6228 -6.3125 0
-10.6627 6.4633 1
-4.3118 -3.5116 4
-8.3277 4.2822 1
-8.2551 -7.0715 0
2.9148 -6.8599 3
-9.9834 -9.6528 0
-2.9007 4.3563 2
-9.6864 -7.8579 0
5.4794 -7.0687 3
-9.8626 5.3823 1
-4.7216 4.4998 2
-7.3743 -7.8252 0
6.6317 -5.9392 3
4.4958 -4.6014 3
-9.3933 -8.9807 0
-11.1569 4.7187 1
5.1866 -6.6096 3
-9.0050 4.1887 1
-4.9271 -4.6270 4
-8.4499 3.7425 1
-10.4434 4.4453 1
5.3197 -5.7306 3
-5.6644 -3.7406 4
-4.4926 2.9934 2
-4.3424 -4.5848 4
-9.1353 4.7492 1
-4.5283 -4.8782 4
-3.2452 2.6036 2
5.9346 -6.2940 3
-4.3771 4.8473 2
-3.8048 3.3566 2
-8.3716 -8.0255 0
5.3566 -7.2207 3
-7.5255 -7.4856 0
-5.5182 -3.8333 4
-4.9309 3.4471 2
-4.0898 3.7194 2
-9.0815 -8.2778 0
4.3885 -7.0471 3
-6.7164 -4.1545 4
-4.6582 -2.8804 4
6.5552 -3.4784 3
-10.0585 -7.3565 0
-8.6341 5.8623 1
-10.1693 -7.0268 0
-9.7052 5.3153 1
-9.2413 -9.9978 0
-6.8781 -5.2769 4
-10.5360 4.8153 1
-5.2178 2.5060 2
-5.1568 -2.2503 4
-8.8603 -9.1659 0
6.1220 -5.9961 3
-4.0345 3.6847 2
6.5271 -5.0738 3
-4.9300 3.7007 2
-5.6830 2.6654 2
5.1247 -4.9710 3
-3.2428 2.4205 2
-8.8656 -6.9812 0
-9.6682 4.8939 1
-3.6967 3.5237 2
-9.1200 -9.5740 0
-8.8484 -8.9083 0
-9.5319 3.8516 1
-9.8538 -9.8689 0
-2.7827 4.7249 2
-5.0561 -3.5068 4
-8.8758 4.0565 1
-8.8767 5.4792 1
-5.4080 -4.6670 4
-6.1483 -4.4859 4
3.3675 -4.6395 3
-5.2386 2.4540 2
-4.1245 -1.6710 4
-4.8915 3.2353 2
-6.6277 2.0789 2
-4.0553 4.1504 2
-4.7384 -2.4468 4
-6.1181 -2.7184 4
-8.8202 5.4299 1
-3.4339 3.4155 2
-8.3427 5.1111 1
-5.2566 -2.2820 4
