,timestamp,tweet
0,2015-08-03 21:45:12,RT @aficionado: Loving @webscriptio by @smarx. Just built an API monitor in a couple of hours https://t.co/BJfspsUmeJ http://t.co/iF9XtBoBQU
1,2015-08-03 00:15:37,RT @indizen_insight: When Data Cleaning Meets Crowdsourcing https://t.co/E7UqJSwDcW #datascience via @DiegoKuonen @bigdata @amplab http://t…
2,2015-06-03 17:49:09,"US economy adds 295,000 jobs in February http://t.co/SqkatWaqnl"
3,2015-06-03 16:44:37,RT @DiegoKuonen: MT @larrykim: Great stuff @robhof ― Eye tracking study reveals how we read #Google results: http://t.co/vIXRi1AHAl http://…
4,2015-06-03 13:04:45,"RT @ndiakopoulos: Folks asking for my slides on text visualization at #NICAR15, here they are: http://t.co/kfqbTBzjI6"
5,2015-06-03 12:56:12,Google Stanford use deep learning for drug discovery http://t.co/DYaVj9tGob #datascience #MachineLearning http://t.co/OzcA74dAUR
6,2015-05-03 15:16:07,RT @rasbt: @halflings Maybe it is useful: I have a little convenience function to plot 2D dec. regions: http://t.co/eF5vsh4iLH http://t.co/…
7,2015-05-03 15:14:30,"RT @github: What do GitHub, Google, Twitter, and Microsoft have in common? We're all speaking at Git Merge. http://t.co/gQMZiu92xb"
8,2015-04-03 17:03:47,"RT @KirkDBorne: Future of #DataScience = #LinkedData (Smart Data) Mining &amp; Analysis &lt;&gt; ('All the world is a graph', Shakespeare?) http://t.…"
9,2015-02-03 04:17:28,RT @rasbt: 'Design critique' A great how-to-make-an-effective-graphic post by @randal_olson http://t.co/p5Mu10Idx7 http://t.co/3QU3o7Kehi
10,2015-01-03 17:33:21,"RT @rasbt: 'Machine Learning Done Wrong' - some useful advice for the practitioner! Maybe old had, but still worth mentioning: http://t.co/…"
11,2015-28-02 19:31:32,@rasbt Regularized logistic regression with cross-validation to choose regularizer parameter  http://t.co/moUWXwsgu2 http://t.co/0HKURnUsgN
12,2015-28-02 14:15:25,"@rasbt I was implementing a logistic regression, and had convergence issues! Then I remembered your hint on normalization, so thanks! :)"
13,2015-28-02 01:09:55,RT @AngelaZutavern: The history of #machinelearning from the inside out http://t.co/jCKM1teZgP #datascience #bigdata http://t.co/APB1nKNfyq
14,2015-27-02 05:11:17,"Amazing TED talk: impressive visualization of child survival, family size &amp; GDP in world #datascience #statistics http://t.co/Ko3gDMoU50"
15,2015-27-02 02:09:29,"#python Optimizing Python in the Real World: NumPy, Numba, and the NUFFT (Fast Fourier Transformation) by @jakevdp https://t.co/6m8eOvhmDd"
16,2015-26-02 23:58:38,#datascience #python Understanding users through Twitter data and #machinelearning http://t.co/guepzwPCM7 http://t.co/k9GyeaLtUc
